"Código","Compra","Venda","Máxima","Mínima","Variação","Var. %","Hora"
"Dólar/VND","26.285,8","26.289,3","26.287,5","26.287,5","0,0","0,00%","19:00:11"
"Dólar/VUV","119,360","119,960","119,660","119,660","0,000","0,00%","19:00:11"
"Dólar/XAF","562,223","562,223","562,223","562,223","0,000","0,00%","20:13:41"
"Dólar/XCD","2,6900","2,7200","2,7050","2,7050","0,0000","0,00%","20:09:32"
"Dólar/XOF","560,000","565,000","562,500","562,500","0,000","0,00%","20:13:41"
"Dólar/XPF","102,400","103,100","102,750","102,750","0,000","0,00%","20:13:41"
"Dólar/YER","238,000","238,800","238,400","238,400","0,000","0,00%","20:13:41"
"Dólar/ZMW","19,44","19,52","19,48","19,48","0,00","0,00%","20:13:41"
"AED/Dólar","0,2722","0,2724","0,2723","0,2723","0,0000","0,00%","20:14:41"
"ARS/Dólar","0,000686","0,000686","0,000686","0,000686","0,000000","0,00%","20:13:27"
"CNY/Dólar","0,1433","0,1433","0,1433","0,1433","0,0000","0,00%","20:17:28"
"DKK/Dólar","0,1558","0,1558","0,1559","0,1558","0,0000","0,00%","20:13:27"
"HKD/Dólar","0,1282","0,1282","0,1282","0,1282","0,0000","0,00%","20:13:27"
"ILS/Dólar","0,3169","0,3178","0,3174","0,3174","0,0000","0,00%","20:13:27"
"MXN/Dólar","0,05606","0,05615","0,05611","0,05607","0,00004","0,06%","20:15:28"
"NOK/Dólar","0,0991","0,0992","0,0992","0,0991","0,0000","0,00%","20:13:27"
"PLN/Dólar","0,2761","0,2767","0,2764","0,2763","0,0000","0,00%","20:13:27"
"RUB/Dólar","0,01246","0,01294","0,01270","0,01270","0,00000","0,00%","20:13:27"
"SAR/Dólar","0,2664","0,2670","0,2667","0,2666","0,0000","0,00%","20:13:27"
"SEK/Dólar","0,1084","0,1084","0,1084","0,1084","0,0000","0,00%","20:13:27"
"TRY/Dólar","0,0232","0,0232","0,0232","0,0232","0,0000","0,00%","20:13:27"
"TWD/Dólar","0,03160","0,03163","0,03162","0,03161","-0,00001","-0,02%","20:13:27"
"VES/Dólar","0,00303","0,00303","0,00303","0,00303","0,00000","0,00%","20:13:27"
"ZAR/Dólar","0,06092","0,06101","0,06101","0,06097","0,00000","0,00%","20:13:27"
"UYU/Dólar","0,02541","0,02609","0,02575","0,02575","0,00000","0,00%","20:13:27"
"PYG/Dólar","0,000149","0,000154","0,000151","0,000151","0,000000","0,00%","20:13:27"
"CLP/Dólar","0,001128","0,001129","0,001129","0,001128","0,000001","0,05%","20:13:27"
"COP/Dólar","0,027112","0,027138","0,027136","0,027111","-0,000011","-0,04%","20:13:27"
"PEN/Dólar","0,2976","0,2977","0,2977","0,2977","0,0000","0,00%","20:13:27"
"NIO/Dólar","0,02703","0,02736","0,02719","0,02719","0,00000","0,00%","20:13:27"
"BOB/Dólar","0,1412","0,1484","0,1448","0,1448","0,0000","0,00%","20:13:27"
"KRW/Dólar","0,678350","0,678400","0,678375","0,677705","0,000670","0,10%","20:15:28"
"EGP/Dólar","0,02121","0,02125","0,02123","0,02123","0,00000","0,00%","20:13:27"
"Dólar/BYN","2,9114","2,9200","2,9157","2,9157","0,0000","0,00%","20:13:41"
"Dólar/MZN","63,27","64,54","63,91","63,91","0,00","0,00%","20:09:14"
"INR/Dólar","1,1074","1,1079","1,1077","1,1077","0,0000","0,00%","20:17:28"
"JOD/Dólar","1,4085","1,4124","1,4104","1,4104","0,0000","0,00%","20:09:56"
"KWD/Dólar","3,2432","3,2523","3,2477","3,2477","0,0000","0,00%","20:13:27"
"Dólar/AZN","1,6950","1,7050","1,7000","1,7000","0,0000","0,00%","20:09:47"
"Dólar/CNH","6,9736","6,9763","6,9750","6,9732","0,0030","0,04%","20:10:00"
"Dólar/KGS","87,4490","87,4490","87,4490","87,4490","0,0000","0,00%","20:13:41"
"Dólar/TJS","9,2093","9,4236","9,3164","9,3164","0,0000","0,00%","20:13:41"
"Dólar/RUB","77,2570","80,2286","79,0737","77,8582","0,8846","1,14%","19:00:11"
"Dólar/BRL","5,8125","5,8131","5,3757","5,3757","0,0053","0,10%","19:00:11"
"Dólar/JPY","117,31","117,31","117,31","117,31","0,00","0,00%","19:00:11"
"Dólar/CHF","0,9349","0,9349","0,9349","0,9349","0,0000","0,00%","19:00:11"
"MYR/Dólar","0,2463","0,2466","0,2465","0,2465","0,0000","0,00%","20:13:27"
"UAH/Dólar","0,02304","0,02332","0,02318","0,02318","0,00000","0,00%","20:13:27"
"HUF/Dólar","0,003011","0,003017","0,003014","0,003012","0,000001","0,04%","20:13:27"
"IDR/Dólar","0,05932000","0,05933000","0,05934000","0,05932500","0,00000000","0,00%","20:13:27"
"Dólar/AOA","911,968","925,368","918,668","918,668","0,000","0,00%","19:00:11"
"VND/Dólar","0,38040000","0,38040000","0,38040000","0,38040000","0,00000000","0,00%","20:13:27"
"BYN/Dólar","0,3425","0,3435","0,3430","0,3430","0,0000","0,00%","20:13:27"
"XBR/Dólar","64,88","65,17","65,47","63,47","1,13","1,77%","19:00:11"
"THB/Dólar","0,031723","0,031757","0,031770","0,031740","-0,000006","-0,02%","20:13:27"
"PHP/Dólar","0,01682907","0,01683473","0,01683507","0,01680945","0,00002245","0,13%","20:13:27"
"Dólar/TMT","3,3500","3,6500","3,5000","3,5000","0,0000","0,00%","20:13:41"
"Dólar/Dólar Turismo","5,240","5,570","5,410","5,390","0,005","0,09%","19:00:11"
"Dólar/Tugrik","3.560,00","3.566,00","3.563,00","3.563,00","0,00","0,00%","19:00:11"
"Dólar/AFN","64,0000","67,0000","65,5000","65,5000","0,0000","0,00%","20:13:41"
"AFN/Dólar","0,0150","0,0150","0,0150","0,0150","0,0000","0,00%","20:13:27"
"SYP/Dólar","0,00865316","0,00865465","0,00865649","0,00865239","0,00000152","0,02%","20:13:27"
"IQD/Dólar","0,000749","0,000779","0,000764","0,000764","0,000000","0,00%","20:13:41"
"Dólar/NGN","357,00","360,00","1.480,00","1.480,00","0,00","0,00%","19:00:11"
"Dólar/ZiGl","25,074","26,360","25,717","25,717","0,000","0,00%","19:00:11"
"CZK/Dólar","0,0480","0,0481","0,0481","0,0480","0,0001","0,11%","20:13:41"
"Dólar/ARSB","388,00","392,00","1.495,00","1.495,00","0,00","0,00%","19:00:11"
"ANG/Dólar","0,5446","0,5734","0,5590","0,5590","0,0000","0,00%","20:13:27"
"Dólar/CDF","2.130,0000","2.170,0000","2.150,0000","2.150,0000","0,0000","0,00%","19:00:11"
